girth,dbh,sapwood_depth
68.4,21.78343949,6.733333333
62.5,19.9044586,5.366666667
73,23.24840764,6.666666667
58.3,18.56687898,7.4
32.8,10.44585987,4.1
59.4,18.91719745,5.533333333
33.4,10.63694268,4.033333333
70.8,22.5477707,6.4
82.5,26.27388535,6.366666667
70.8,22.5477707,4.666666667
85.6,27.2611465,5.066666667
62,19.74522293,5.133333333
62,19.74522293,4.3
69,21.97452229,4.8
44.8,14.26751592,5.466666667
63.5,20.22292994,7.8
49.3,15.70063694,6.4
46.2,14.7133758,5
67.8,21.59235669,3.8
45.6,14.52229299,3.5
49.5,15.76433121,2.4
57.3,18.24840764,1.9
48.8,15.54140127,1.8
63.6,20.25477707,1.9
40.2,12.80254777,3.1
46.4,14.77707006,3.4
63.4,20.1910828,2.5
52.5,16.71974522,7.5
44,14.01273885,2.3
50.5,16.08280255,2.2
103.7,33.02547771,6.566666667
93.9,29.9044586,6.8
67.5,21.49681529,3.2
92.4,29.42675159,8.8
64.8,20.63694268,3.9
32.5,10.35031847,5.3
47.5,15.12738854,3.3
66.2,21.08280255,5.8
77.8,24.77707006,4.7
108.5,34.55414013,6.733333333
77.8,24.77707006,12.1